filename,grade,,,,
1004355.txt,low,,,,
1007363.txt,low,,,,
1079196.txt,high,,,,
1086343.txt,low,,,,
1096747.txt,low,,,,
1109085.txt,high,,,,
1164913.txt,low,,,,
1174920.txt,low,,,,
1181356.txt,low,,,,
1223368.txt,high,,,,
1239289.txt,low,,,,
1249928.txt,low,,,,
1321982.txt,low,,,,
1346734.txt,low,,,,
1365003.txt,high,,,,
1388870.txt,low,,,,
1392946.txt,high,,,,
1394540.txt,,,,,
1414676.txt,,,,,
1431839.txt,high,,,,
1447041.txt,low,,,,
1449555.txt,high,,,,
1453563.txt,high,,,,
1469088.txt,,,,,
1599482.txt,high,,,1599482.txt,1604419.txt
1604419.txt,low,,,162639.txt,1648484.txt
162639.txt,high,,,1693042.txt,1691426.txt
1648484.txt,low,,,1723586.txt,1784031.txt
1691426.txt,low,,,1728162.txt,1790750.txt
1693042.txt,high,,,1827588.txt,1804641.txt
1703761.txt,low,,,1834502.txt,1812668.txt
1723586.txt,high,,,1876159.txt,1813924.txt
1728162.txt,high,,,1942513.txt,1851482.txt
1784031.txt,low,,,1985615.txt,1897285.txt
1790750.txt,low,,,,
1804641.txt,low,,,,
1812668.txt,low,,,,
1813924.txt,low,,,,
1827588.txt,high,,,,
1834502.txt,high,,,,
1851482.txt,low,,,,
186616.txt,,,,,
1876159.txt,high,,,,
1897285.txt,low,,,,
1942513.txt,high,,,,
1949465.txt,,,,,
1971958.txt,,,,,
1974703.txt,low,,,,
1985615.txt,high,,,,
206667.txt,low,,,,
216672.txt,low,,,,
219983.txt,low,,,,
230893.txt,high,,,,
232159.txt,high,,,,
248917.txt,low,,,,
265349.txt,,,,,
279212.txt,high,,,,
302140.txt,,,,,
338351.txt,,,,,
339615.txt,low,,,,
345396.txt,,,,,
373416.txt,high,,,,
38209.txt,high,,,,
392518.txt,low,,,,
395987.txt,,,,,
404521.txt,low,,,,
412197.txt,high,,,,
425198.txt,low,,,,
449267.txt,low,,,,
450359.txt,low,,,,
496928.txt,low,,,,
526827.txt,low,,,,
52951.txt,high,,,,
535573.txt,high,,,,
562823.txt,low,,,,
586583.txt,low,,,,
589458.txt,low,,,,
594970.txt,high,,,,
599905.txt,high,,,,
609558.txt,high,,,,
618384.txt,high,,,,
643139.txt,low,,,,
644250.txt,,,,,
656695.txt,high,,,,
661830.txt,,,,,
67346.txt,high,,,,
711394.txt,,,,,
71654.txt,,,,,
716766.txt,high,,,,
746257.txt,,,,,
749940.txt,low,,,,
755753.txt,high,,,,
757891.txt,high,,,,
806909.txt,high,,,,
832751.txt,high,,,,
844996.txt,high,,,,
871631.txt,low,,,,
913996.txt,high,,,,
937403.txt,high,,,,
990384.txt,,,,,
